"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2022","17,774.9","17,212.3","17,954.8","17,098.6","38.30K","3.31%"
"12/12/2022","17,205.3","17,093.6","17,238.3","16,881.9","20.64K","0.65%"
"12/11/2022","17,093.6","17,129.6","17,257.9","17,078.2","9.94K","-0.21%"
"12/10/2022","17,129.6","17,128.8","17,217.4","17,105.5","7.86K","0.02%"
"12/09/2022","17,127.0","17,226.0","17,290.8","17,081.6","20.96K","-0.58%"
"12/08/2022","17,226.7","16,837.4","17,292.2","16,766.9","23.52K","2.34%"
"12/07/2022","16,832.9","17,085.8","17,122.5","16,716.7","22.62K","-1.48%"
"12/06/2022","17,085.4","16,968.0","17,102.3","16,915.9","26.67K","0.70%"
"12/05/2022","16,966.3","17,115.3","17,418.8","16,884.6","33.62K","-0.86%"
"12/04/2022","17,113.2","16,885.5","17,162.3","16,883.7","16.95K","1.35%"
"12/03/2022","16,885.5","17,092.2","17,134.1","16,866.3","14.08K","-1.21%"
"12/02/2022","17,092.2","16,980.1","17,102.6","16,825.0","23.08K","0.72%"
"12/01/2022","16,970.6","17,167.3","17,238.1","16,866.3","31.79K","-1.15%"
"11/30/2022","17,167.3","16,438.0","17,225.0","16,426.8","42.50K","4.47%"
"11/29/2022","16,433.4","16,206.3","16,525.9","16,097.6","21.89K","1.39%"
"11/28/2022","16,207.6","16,419.6","16,475.5","16,005.9","30.33K","-1.29%"
"11/27/2022","16,419.6","16,450.5","16,587.8","16,399.6","10.82K","-0.19%"
"11/26/2022","16,450.6","16,507.9","16,685.5","16,384.5","12.30K","-0.32%"
"11/25/2022","16,503.1","16,597.4","16,610.1","16,344.4","20.79K","-0.57%"
"11/24/2022","16,597.4","16,587.0","16,781.2","16,463.4","21.80K","0.01%"
"11/23/2022","16,596.1","16,170.8","16,655.4","16,143.0","37.14K","2.47%"
"11/22/2022","16,196.5","15,756.3","16,266.2","15,605.0","44.55K","2.77%"
"11/21/2022","15,759.7","16,257.7","16,262.1","15,500.3","43.78K","-3.06%"
"11/20/2022","16,257.7","16,686.9","16,731.1","16,174.7","16.67K","-2.57%"
"11/19/2022","16,686.9","16,629.8","16,800.0","16,590.4","9.38K","0.39%"
"11/18/2022","16,622.3","16,825.4","16,833.9","16,534.0","26.44K","-0.55%"
"11/17/2022","16,714.0","16,681.9","16,736.0","16,403.4","23.23K","1.12%"
"11/16/2022","16,529.0","16,880.2","16,980.7","16,387.2","35.90K","-2.08%"
"11/15/2022","16,880.2","16,589.7","17,073.6","16,530.2","48.15K","1.75%"
"11/14/2022","16,590.1","16,299.3","17,131.0","15,801.9","55.59K","1.75%"
"11/13/2022","16,304.4","16,774.5","16,919.3","16,243.3","23.26K","-2.78%"
"11/12/2022","16,770.3","16,995.5","17,063.6","16,603.1","23.83K","-1.43%"
"11/11/2022","17,013.8","17,539.2","17,632.5","16,414.2","64.77K","-3.00%"
"11/10/2022","17,539.2","15,852.5","18,106.3","15,766.4","91.48K","10.64%"
"11/09/2022","15,852.5","18,511.8","18,581.4","15,566.3","119.60K","-14.37%"
"11/08/2022","18,511.8","20,592.2","20,670.8","17,569.0","84.01K","-10.10%"
"11/07/2022","20,591.1","20,919.3","21,067.9","20,402.5","25.28K","-1.56%"
"11/06/2022","20,917.5","21,304.2","21,364.6","20,894.6","10.95K","-1.81%"
"11/05/2022","21,303.4","21,146.3","21,470.6","21,082.8","14.08K","0.74%"
"11/04/2022","21,146.3","20,206.9","21,275.3","20,182.8","42.01K","4.64%"
"11/03/2022","20,207.9","20,149.2","20,382.9","20,058.9","26.83K","0.29%"
"11/02/2022","20,149.1","20,479.9","20,794.8","20,062.2","43.91K","-1.65%"
"11/01/2022","20,487.6","20,492.1","20,669.1","20,338.4","21.14K","-0.04%"
"10/31/2022","20,495.9","20,626.2","20,826.6","20,250.6","22.22K","-0.63%"
"10/30/2022","20,626.2","20,822.5","20,933.4","20,526.2","13.73K","-0.94%"
"10/29/2022","20,822.4","20,601.5","21,066.0","20,562.0","19.82K","1.08%"
"10/28/2022","20,599.4","20,295.1","20,748.1","20,024.6","29.58K","1.50%"
"10/27/2022","20,294.2","20,775.4","20,875.5","20,217.9","34.11K","-2.33%"
"10/26/2022","20,778.1","20,095.0","21,001.3","20,060.9","43.61K","3.45%"
"10/25/2022","20,086.0","19,330.6","20,411.9","19,245.6","42.44K","3.88%"
"10/24/2022","19,335.5","19,572.4","19,591.9","19,167.2","29.43K","-1.20%"
"10/23/2022","19,570.2","19,208.7","19,682.1","19,096.9","12.07K","1.89%"
"10/22/2022","19,207.8","19,166.4","19,253.4","19,116.5","7.04K","0.22%"
