date_open,index,open,high,low,close,volume,date_close,feature_ROC_2,feature_RROC_2,feature_ATR_2,feature_ADX_2,price change,feature_RSI_2,feature_ROC_4,feature_RROC_4,feature_ATR_4,feature_ADX_4,feature_RSI_4,feature_ROC_6,feature_RROC_6,feature_ATR_6,feature_ADX_6,feature_RSI_6,feature_ROC_8,feature_RROC_8,feature_ATR_8,feature_ADX_8,feature_RSI_8,feature_ROC_16,feature_RROC_16,feature_ATR_16,feature_ADX_16,feature_RSI_16,feature_ROC_32,feature_RROC_32,feature_ATR_32,feature_ADX_32,feature_RSI_32,feature_ROC_64,feature_RROC_64,feature_ATR_64,feature_ADX_64,feature_RSI_64
2023-01-01 00:00:00,0,16541.77,16545.7,16508.39,16529.67,4364.8357,2023-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 01:00:00,1,16529.59,16556.8,16525.78,16551.47,3590.06669,2023-01-01 02:00:00,,,34.16500000000087,,21.80000000000291,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 02:00:00,2,16551.47,16559.77,16538.14,16548.19,3318.84038,2023-01-01 03:00:00,0.1176604789381086,,26.325000000000728,100.0,-3.280000000002474,46.50170648463962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 03:00:00,3,16548.19,16548.19,16518.21,16533.04,4242.0805,2023-01-01 04:00:00,-0.10219425999338227,,25.80500000000029,71.4764942435687,-15.149999999997817,0.0,,,29.985000000000582,,35.14428502337702,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 04:00:00,4,16533.04,16535.97,16511.92,16521.85,4285.00909,2023-01-01 05:00:00,-0.16608711040937418,-246.0672931147017,27.015000000001237,59.84897418779612,-11.190000000002328,0.0,-0.028276445930286442,,26.670000000000982,,29.77328598743567,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 05:00:00,5,16522.22,16534.98,16512.3,16530.71,3717.37178,2023-01-01 06:00:00,-0.024517172356142147,-62.955227396846205,23.3650000000016,84.96180995777951,8.860000000000582,30.646835005186816,-0.11558863857911161,,24.585000000000946,,18.71567384875344,,,27.778333333334256,,33.71453705740076,,,,,,,,,,,,,,,,,,,,
2023-01-01 06:00:00,6,16530.71,16550.0,16528.81,16539.79,3344.90206,2023-01-01 07:00:00,0.1087983986348462,-163.19952408260212,21.93499999999949,96.58385576278098,9.080000000001746,50.0,-0.08203001800097809,,24.475000000000364,86.66798149966453,28.833172613309145,0.03185382662476144,,25.09166666666715,,36.42529789184277,,,,,,,,,,,,,,,,,,,,
2023-01-01 07:00:00,7,16539.79,16544.57,16499.01,16526.19,5184.95822,2023-01-01 08:00:00,-0.015176085602019995,-91.65742285768023,33.375,85.90980229184558,-13.600000000002183,28.58942065491223,-0.05715081900737884,,28.3700000000008,82.73039577604808,29.569803856930307,-0.08529232926747232,,27.51500000000063,,22.680151706700613,,,29.17750000000069,,32.387938060309935,,,,,,,,,,,,,,,
2023-01-01 08:00:00,8,16525.7,16534.03,16508.45,16513.34,4271.92023,2023-01-01 09:00:00,-0.15790203284699045,-242.5093441647448,35.56999999999971,73.18244664276554,-12.849999999998545,0.0,-0.05380893334171466,101.77919173530121,28.7524999999996,81.70010868183923,28.782287822879468,-0.1796879585332367,,28.173333333333478,,20.23232209315576,-0.05358856944156498,,27.71125000000029,,29.317594983401833,,,,,,,,,,,,,,,
2023-01-01 09:00:00,9,16513.33,16542.49,16505.2,16537.88,4100.75049,2023-01-01 10:00:00,0.055358870537380866,-1493.216635520846,31.43499999999949,70.19955238037049,24.540000000000873,39.6253834974984,0.02260236410784877,-107.38380210012346,32.404999999999745,78.68198553247481,35.884299284876164,-0.07015474769993535,,29.39166666666703,,34.6492659053833,-0.0784614409242268,,28.495000000000346,,30.1212507977028,,,,,,,,,,,,,,,
